preface.1.1	In the Name of God the Merciful, the Pitiful	INTRODUCTION: AU NOM DE DIEU CLÉMENT ET MISÉRICORDIEUX.	1.1	preface
preface.1.2	Discourse in Praise of Wisdom	LOUANGE DE L’INTELLIGENCE	1.2	preface
preface.1.3	Of the Making of the World	CRÉATION DU MONDE.	1.3	preface
preface.1.4	Of the Nature of Man	CRÉATION DE L'HOMME.	1.5	preface
preface.1.5	Of the Nature of the Sun	CRÉATION DU SOLEIL.	1.6	preface
preface.1.6	Of the Nature of the Moon	CRÉATION DE LA LUNE.	1.7	preface
preface.1.7	The Praise of <persName n="Mohammed">the Prophet</persName> and his Companions	LOUANGES DU PROPHÈTE (QUE LA GRÂCE DE DIEU SOIT SUR LUI!).	1.8	preface
preface.1.8	On the Compilation of the <persName><rs type="title">Shahnama</rs></persName>	COMMENT LE LIVRE DES ROIS FUT COMPOSÉ.	1.1	preface
preface.1.9	Of the poet <persName>Dakiki</persName>	SUR DAKIKI LE POËTE.	1.11	preface
preface.1.10	How the present Book was begun	COMMENT LE POËME FUT ENTREPRIS.	1.12	preface
preface.1.11	In Praise of Abu Mansur, Son of <persName>Muhammad</persName>	LOUANGE D'ABOU-MANSOUR, FILS DE MOHAMMED.	1.13	preface
preface.1.12	The Praise of Sultan Mahmud	LOUANGE DU ROI MAHMOUD.	1.14	preface
1.1.1	The Greatness of <persName>Gaiumart</persName> and the Envy of <rs type="divinity">Ahriman</rs>	<xref n="1.1.1"/>		1
1.1.2	How <persName>Siyamak</persName> was Slain by the Hand of the <rs type="divinity">Div</rs>	COMBAT DE SIAMEK AVEC LE DIV, ET MORT DE SIAMEK.	1.21	1
1.1.3	How <persName>Hushang</persName> and  <persName>Gaiumart</persName> went to Fight <rs type="divinity">the Black Div</rs>	COMBAT DE KAÏOUMORS ET DE HOUSCHENG AVEC LE DIV NOIR.	1.23	1
2.1.1	The Accession of <persName>Hushang</persName> and his civilising Arts	<xref n="2.1.1"/>		2
2.1.2	How the Feast of Sada was Founded	INTRODUCTION DE LA FÊTE DU FEU.	1.26	2
3.1.1	<persName>Tahmuras</persName> ascends the Throne, invents new Arts, subdues the Divs, and dies	<xref n="3.1.1"/>		3
4.1.1	The Greatness and Fall of Jamshid	<xref n="4.1.1"/>		4
